#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/CaDiCaL/slices-BMC08, restartmargin, 1, 1, 1, 0, 90.11142061281338, 76.18384401114207, 43.03621169916435, 10.027855153203342, 1.317548746518106, 0.885894088142169, 0.8246134851858967, 0.9260437142101479, 0.27929224834261857, 0.26114296246799135, 0.29780704936472757
scenarios/CaDiCaL/slices-BMC08, subsumebinlim, 0, 1, 1, 0, 79.94428969359332, 100.0, 100.0, 10.584958217270195, 1.0, 0.23310499163147627, -0.2551155543977613, 0.47954588171724055, 0.16972412933232844, 0.15231866807829375, 0.1868691817379843
scenarios/CaDiCaL/slices-BMC08, subsumeclslim, 0, 1, 1, 0, 79.66573816155989, 100.0, 99.30362116991644, 10.584958217270195, 1.0, 0.0935731232955317, -0.41603212204016654, 0.6203804740533294, 0.15728150072450175, 0.1406648513507567, 0.17261233680372817
scenarios/CaDiCaL/slices-BMC08, subsumeinc, 0, 1, 1, 0, 82.86908077994428, 99.86072423398329, 98.05013927576601, 10.584958217270195, 1.001392757660167, 0.1272215793583047, -0.306263107242677, 0.5426607764755356, 0.1476948116418582, 0.13075057818520183, 0.16563849026206984
scenarios/CaDiCaL/slices-BMC08, subsumeinit, 0, 1, 1, 0, 79.66573816155989, 100.0, 100.0, 10.584958217270195, 1.0, 0.13367631090573356, -0.31970828260984985, 0.6205134215206268, 0.15487923251032285, 0.13736515325672727, 0.1715887718141143
scenarios/CaDiCaL/slices-BMC08, subsumeocclim, 0, 1, 1, 0, 79.94428969359332, 100.0, 99.72144846796658, 10.584958217270195, 1.0, 0.23150526686237646, -0.39096907837817174, 0.7279167472648636, 0.1563887286447048, 0.13906980697717725, 0.1735355149814153
scenarios/CaDiCaL/slices-BMC08, transredmaxeff, 0, 1, 1, 0, 79.52646239554318, 99.86072423398329, 99.86072423398329, 10.584958217270195, 1.001392757660167, 0.15292441253767944, -0.33979641735138927, 0.7019752415576438, 0.15136876832468926, 0.13407251404870849, 0.16911316675542482
scenarios/CaDiCaL/slices-BMC08, transredmineff, 0, 1, 1, 0, 79.66573816155989, 100.0, 99.72144846796658, 10.584958217270195, 1.0, 0.15786977656125703, -0.28593756859280767, 0.5543062746659858, 0.1520833634990238, 0.13621972260308088, 0.1699640409472707
scenarios/CaDiCaL/slices-BMC08, transredreleff, 0, 1, 1, 0, 80.50139275766017, 100.0, 99.86072423398329, 10.584958217270195, 1.0, 0.37005203686886673, -0.11872432790768489, 0.6566702651220352, 0.16088490685126558, 0.14368352413809526, 0.17832103350907144
scenarios/CaDiCaL/slices-BMC08, vivifymaxeff, 0, 1, 1, 0, 81.89415041782729, 100.0, 100.0, 10.584958217270195, 1.0, 0.16160867144759486, -0.3057770499782303, 0.5540693806478245, 0.15624604448676432, 0.13843607177404307, 0.1728683207131556
scenarios/CaDiCaL/slices-BMC08, vivifymineff, 0, 1, 1, 0, 80.50139275766017, 99.86072423398329, 99.86072423398329, 10.584958217270195, 1.001392757660167, 0.33641667657442276, -0.11114590131079757, 0.6391259167766792, 0.15534174801895706, 0.13736875076685964, 0.17259186865283602
scenarios/CaDiCaL/slices-BMC08, vivifyreleff, 0, 1, 1, 0, 79.8050139275766, 100.0, 100.0, 10.584958217270195, 1.0, 0.12465694803143212, -0.31096388874684355, 0.49998674070294935, 0.16038673903403497, 0.1434848304640539, 0.17718171427891605
scenarios/lingeling/slices-circuit-fuzz, actvlim, 0, 1, 1, 0, 11.794871794871796, 100.0, 100.0, 4.786324786324787, 1.0, 0.11864511742668604, -0.4205401744618222, 0.6205926879200547, 0.1252098778463752, 0.10567180697312185, 0.1447572383775031
scenarios/lingeling/slices-circuit-fuzz, cardminlen, 0, 1, 1, 0, 48.37606837606837, 100.0, 100.0, 4.786324786324787, 1.0, 0.1975394580064026, -0.3299383058696581, 0.6123026055639419, 0.11620925801464604, 0.09175008256668435, 0.13700745927677335
scenarios/lingeling/slices-circuit-fuzz, cce2wait, 0, 1, 1, 0, 12.136752136752136, 100.0, 100.0, 4.786324786324787, 1.0, 0.1900607212818109, -0.29747465614599194, 0.6039675125591785, 0.14347608795107292, 0.12430481068379388, 0.1615549977602885
scenarios/lingeling/slices-circuit-fuzz, decolim, 0, 1, 1, 0, 60.68376068376068, 100.0, 92.3076923076923, 5.128205128205128, 1.0, 0.28821057240528936, -0.19272980556260477, 0.5377232288535571, 0.12530890613259651, 0.11015485578893124, 0.14126435758863723
scenarios/lingeling/slices-circuit-fuzz, lftmaxeff, 0, 1, 1, 0, 14.01709401709401, 100.0, 100.0, 4.786324786324787, 1.0, 0.13066418785773556, -0.26839895053475143, 0.49458495076520853, 0.12305437446455969, 0.10514321793360551, 0.142774329464285
scenarios/lingeling/slices-circuit-fuzz, phaseneginit, 0, 1, 1, 0, 95.72649572649573, 99.82905982905983, 98.97435897435898, 4.957264957264957, 1.0017094017094017, 0.19768030547327226, -0.28679169376438624, 0.6604097207457954, 0.20304859187451932, 0.18401978071661187, 0.22225885261023637
