#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/CaDiCaL/slices-circuit-fuzz, probemineff, 0, 1, 1, 0, 93.3104631218, 100.0, 99.6569468268, 3.77358490566, 1.0, 0.28637517384, -0.160976890655, 0.689825611428, 0.140622357511, 0.123911822606, 0.158433935237
scenarios/CaDiCaL/slices-circuit-fuzz, probereleff, 0, 1, 1, 0, 91.7667238422, 100.0, 99.4854202401, 3.77358490566, 1.0, 0.193682081603, -0.296913643619, 0.638008818703, 0.144834022376, 0.126466344923, 0.162856393332
scenarios/CaDiCaL/slices-circuit-fuzz, reduceinc, 1, 1, 1, 0, 98.1132075472, 18.5248713551, 15.4373927959, 3.60205831904, 3.07547169811, 0.809553502047, 0.646840557259, 0.90945047625, 0.372721159172, 0.364796498107, 0.381163318042
scenarios/CaDiCaL/slices-circuit-fuzz, reduceinit, 1, 1, 1, 0, 98.4562607204, 12.3499142367, 7.20411663808, 3.08747855918, 3.03430531732, 0.827606093296, 0.650293990745, 0.926218470523, 0.498118183195, 0.492003234768, 0.504527416353
scenarios/CaDiCaL/slices-circuit-fuzz, rephaseint, 0, 1, 1, 0, 91.0806174957, 100.0, 99.3138936535, 3.77358490566, 1.0, 0.0659872800097, -0.48289038286, 0.644149958149, 0.141888001316, 0.124084060892, 0.160759039642
scenarios/CaDiCaL/slices-circuit-fuzz, restartint, 0, 1, 1, 0, 92.2813036021, 100.0, 99.6569468268, 3.77358490566, 1.0, 0.17875364839, -0.355131017696, 0.748376098297, 0.145832037601, 0.128349990017, 0.164300217878
scenarios/CaDiCaL/slices-circuit-fuzz, restartmargin, 1, 1, 1, 0, 97.0840480274, 100.0, 96.397941681, 3.60205831904, 1.0, 0.473525054521, -0.219546750498, 0.680340542387, 0.4608647628, 0.441311891704, 0.476553132849
scenarios/CaDiCaL/slices-circuit-fuzz, subsumebinlim, 0, 1, 1, 0, 91.2521440823, 99.8284734134, 99.3138936535, 3.77358490566, 1.00171526587, 0.070602006177, -0.430774891451, 0.542451112316, 0.164862183461, 0.146194680501, 0.181381707622
scenarios/CaDiCaL/slices-circuit-fuzz, subsumeclslim, 0, 1, 1, 0, 91.9382504288, 100.0, 99.3138936535, 3.77358490566, 1.0, 0.237865269106, -0.206156123525, 0.626695078819, 0.153051825051, 0.135681294497, 0.170726794149
scenarios/CaDiCaL/slices-circuit-fuzz, subsumeinc, 0, 1, 1, 0, 92.1097770154, 95.025728988, 91.9382504288, 3.2590051458, 1.08919382504, 0.259009656188, -0.150021090412, 0.620660268311, 0.208809395329, 0.192673090243, 0.225090579876
